Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.083,0.570176069,0.59601559
0.084,0.570612777,0.596947319
0.085,0.57131562,0.60128315
0.086,0.572811361,0.602099309
0.087,0.576933674,0.60269915
0.088,0.577296261,0.603327316
0.089,0.578061108,0.60404728
0.09,0.578550643,0.60461948
0.091,0.578633886,0.605280861
0.092,0.578743725,0.605791716
0.093,0.579168182,0.60623088
0.094,0.57963075,0.612059934
0.095,0.581126525,0.612438479
0.096,0.584480072,0.612819969
0.097,0.585031751,0.613336593
0.098,0.585692948,0.613842953
0.099,0.586409574,0.614374123
0.1,0.5872504,0.615041337
0.101,0.588201984,0.621719522
0.102,0.590782623,0.622798566
0.103,0.591214387,0.623492827
0.104,0.591825766,0.624201702
0.105,0.592448347,0.624991039
0.106,0.593245749,0.625701899
0.107,0.596825486,0.63140758
0.108,0.597614336,0.632174606
0.109,0.598150515,0.632842937
0.11,0.598730977,0.637067517
0.111,0.599760312,0.645746601
0.112,0.600538648,0.646408745
0.113,0.601370667,0.646821819
0.114,0.6020692,0.647422035
0.115,0.602316273,0.647738395
0.116,0.602695338,0.648022586
0.117,0.6035447,0.648514333
0.118,0.604019614,0.649037108
0.119,0.604388099,0.649416464
0.12,0.605137699,0.64981528
0.121,0.605865288,0.65029708
0.122,0.607128595,0.650908746
0.123,0.607705629,0.653801761
0.124,0.608085057,0.65462365
0.125,0.608392724,0.655117774
0.126,0.610019813,0.655732798
0.127,0.610375046,0.656463836
0.128,0.61070064,0.657067208
0.129,0.612758543,0.657747984
0.13,0.614377856,0.65832012
0.131,0.614826211,0.658837891
0.132,0.616113492,0.659886037
0.133,0.616579142,0.660847527
0.134,0.617631148,0.661750097
0.135,0.617988063,0.662060027
0.136,0.618903984,0.662316986
0.137,0.621244435,0.662654709
0.138,0.62190052,0.663019656
0.139,0.62599753,0.663695928
0.14,0.638197315,0.664069744
0.141,0.638854083,0.664463203
0.142,0.639548068,0.66540945
0.143,0.640218101,0.666152788
0.144,0.640831713,0.666794512
0.145,0.641526387,0.667416026
0.146,0.642187886,0.668026057
0.147,0.642983668,0.668385335
0.148,0.645550872,0.669166693
0.149,0.646341528,0.669913192
0.15,0.647174618,0.670739737
0.151,0.648191024,0.673537742
0.152,0.651979833,0.674133412
0.153,0.654368755,0.67473092
0.154,0.65689602,0.675256598
0.155,0.657819648,0.675803097
0.156,0.658754632,0.67636522
0.157,0.65966231,0.676653159
0.158,0.663502231,0.677377144
0.159,0.664087982,0.677874001
0.16,0.664787147,0.678490961
0.161,0.665509981,0.679264617
0.162,0.666261561,0.679827457
0.163,0.667970448,0.68070393
0.164,0.668673077,0.681285285
0.165,0.669305673,0.681946298
0.166,0.670201788,0.682624152
0.167,0.670620771,0.68309548
0.168,0.671202625,0.683709321
0.169,0.671786798,0.684170033
0.17,0.672418806,0.684599242
0.171,0.67289141,0.685140788
0.172,0.673557575,0.685721216
0.173,0.674336211,0.689839444
0.174,0.674752546,0.69047524
0.175,0.675156551,0.691089172
0.176,0.675573611,0.692824241
0.177,0.676353461,0.693226691
0.178,0.676804119,0.69374146
0.179,0.677352078,0.694341894
0.18,0.677972539,0.695187957
0.181,0.678425662,0.69589223
0.182,0.678705691,0.696899611
0.183,0.679031465,0.697991565
0.184,0.679305109,0.701280785
0.185,0.67953275,0.702203571
0.186,0.680629845,0.703742928
0.187,0.680889935,0.704394117
0.188,0.681143016,0.704914165
0.189,0.681405271,0.705679062
0.19,0.68304922,0.71033477
0.191,0.684974196,0.711113196
0.192,0.685014258,0.711974859
0.193,0.685179256,0.712963804
0.194,0.686059476,0.713766789
0.195,0.688271616,0.715189251
0.196,0.688650751,0.716776871
0.197,0.688860117,0.717309195
0.198,0.689078854,0.717939222
0.199,0.689514341,0.720363869
0.2,0.689803818,0.727426411
0.201,0.690141368,0.728065396
0.202,0.690426044,0.728610403
0.203,0.690499193,0.72913155
0.204,0.690751362,0.738011261
0.205,0.691024973,0.738476662
0.206,0.691407619,0.73899219
0.207,0.691891108,0.739533017
0.208,0.691898215,0.741895046
0.209,0.691930466,0.742267438
0.21,0.691982481,0.742888163
0.211,0.692131878,0.743447943
0.212,0.692675087,0.744102909
0.213,0.693105737,0.744973564
0.214,0.693372184,0.745854479
0.215,0.693678484,0.746573264
0.216,0.693839321,0.748555086
0.217,0.694028394,0.751959581
0.218,0.69433169,0.752528709
0.219,0.694607678,0.75448811
0.22,0.695013138,0.754907518
0.221,0.695280928,0.758597623
0.222,0.695541835,0.759178464
0.223,0.695898777,0.761042014
0.224,0.696423832,0.761513332
0.225,0.69677282,0.762108059
0.226,0.697136708,0.765884234
0.227,0.69712149,0.774663936
0.228,0.697346066,0.77527242
0.229,0.697711387,0.775731792
0.23,0.697687158,0.781197731
0.231,0.697852398,0.782909145
0.232,0.6979952,0.784248436
0.233,0.698393616,0.787951984
0.234,0.698636274,0.789140736
0.235,0.698816777,0.789672182
0.236,0.699140963,0.790513846
0.237,0.699492915,0.791103984
0.238,0.699683227,0.791668742
0.239,0.700095416,0.792338002
0.24,0.700416565,0.793186965
0.241,0.700822693,0.793977951
0.242,0.701079717,0.794468493
0.243,0.70140088,0.794989754
0.244,0.701563714,0.795494979
0.245,0.702064155,0.795895387
0.246,0.702368697,0.796509075
0.247,0.702632071,0.797240083
0.248,0.702972142,0.798032263
0.249,0.703332455,0.798776632
0.25,0.703732226,0.79961809
0.251,0.704064064,0.800394443
0.252,0.704664967,0.801252239
0.253,0.705174406,0.80206648
0.254,0.705839328,0.802883662
0.255,0.706248401,0.803583293
0.256,0.707466014,0.804130628
0.257,0.707919585,0.804607645
0.258,0.708432924,0.805269677
0.259,0.708804116,0.806089449
0.26,0.709300806,0.806913078
0.261,0.709958397,0.807572971
0.262,0.711072846,0.808209526
0.263,0.712785457,0.808679075
0.264,0.713087767,0.809363152
0.265,0.713443794,0.810032704
0.266,0.714346149,0.810772246
0.267,0.715106394,0.811645095
0.268,0.715865979,0.81222519
0.269,0.716372812,0.814836519
0.27,0.716830833,0.81736127
0.271,0.717226067,0.818235914
0.272,0.717627036,0.825023572
0.273,0.718116752,0.825713039
0.274,0.719202325,0.827836251
0.275,0.719694885,0.828697976
0.276,0.720156733,0.829571911
0.277,0.720602691,0.830474166
0.278,0.720928162,0.832330972
0.279,0.721882513,0.833075073
0.28,0.725178131,0.8339531
0.281,0.726300025,0.834576933
0.282,0.726782004,0.835530605
0.283,0.727176527,0.836345197
0.284,0.735904626,0.837051204
0.285,0.736494001,0.838640489
0.286,0.737145747,0.839431735
0.287,0.737393859,0.840339471
0.288,0.737720747,0.841085054
0.289,0.73833188,0.843177862
0.29,0.738934868,0.844168231
0.291,0.739281742,0.844893352
0.292,0.739737823,0.846615204
0.293,0.740218174,0.847499841
0.294,0.740233604,0.848557353
0.295,0.740446523,0.849281083
0.296,0.740492626,0.851394079
0.297,0.740441282,0.852202371
0.298,0.740440009,0.852816334
0.299,0.740489829,0.853555036
0.3,0.740400912,0.853928215
0.301,0.740916187,0.854971038
0.302,0.740998242,0.855507347
0.303,0.741154893,0.856240421
0.304,0.741433448,0.856964358
0.305,0.741654482,0.858550204
0.306,0.742670626,0.859128154
0.307,0.74289584,0.859652228
0.308,0.744275079,0.86030084
0.309,0.744568863,0.861572405
0.31,0.744791937,0.86229007
0.311,0.745001448,0.865842584
0.312,0.745873592,0.866117492
0.313,0.746681583,0.86654293
0.314,0.747008003,0.867085338
0.315,0.747754353,0.868766967
0.316,0.748153614,0.869322031
0.317,0.748460083,0.869888173
0.318,0.748742201,0.870412909
0.319,0.749466147,0.871056118
0.32,0.749990441,0.871616304
0.321,0.750293251,0.872154857
0.322,0.750547132,0.872723367
0.323,0.750991162,0.873339286
0.324,0.751239956,0.877469493
0.325,0.751576357,0.877986253
0.326,0.75188617,0.87994135
0.327,0.752257533,0.880541496
0.328,0.752540304,0.882371508
0.329,0.752901844,0.883472836
0.33,0.753366695,0.884011247
0.331,0.753766639,0.884500792
0.332,0.754151104,0.885176704
0.333,0.754481225,0.885768537
0.334,0.754877202,0.886349209
0.335,0.755318971,0.886858064
0.336,0.755745282,0.887389498
0.337,0.756131759,0.88777031
0.338,0.756626375,0.888291683
0.339,0.756987109,0.888786098
0.34,0.757387652,0.889525916
