Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0.081,0.56448423,0.558319928
0.082,0.565961157,0.564488916
0.083,0.570176069,0.565105483
0.084,0.570612777,0.565822663
0.085,0.57131562,0.566423235
0.086,0.572811361,0.567073724
0.087,0.576933674,0.56770973
0.088,0.577296261,0.568348888
0.089,0.578061108,0.569200953
0.09,0.578550643,0.570669801
0.091,0.578633886,0.571503519
0.092,0.578743725,0.572022448
0.093,0.579168182,0.575686639
0.094,0.57963075,0.576212616
0.095,0.581126525,0.576838676
0.096,0.584480072,0.577620638
0.097,0.585031751,0.578463945
0.098,0.585692948,0.579115248
0.099,0.586409574,0.583051844
0.1,0.5872504,0.584916432
0.101,0.588201984,0.592826899
0.102,0.590782623,0.593604723
0.103,0.591214387,0.597691252
0.104,0.591825766,0.598286361
0.105,0.592448347,0.598868176
0.106,0.593245749,0.599608921
0.107,0.596825486,0.600126351
0.108,0.597614336,0.600631745
0.109,0.598150515,0.601210083
0.11,0.598730977,0.601740561
0.111,0.599760312,0.602574129
0.112,0.600538648,0.603120974
0.113,0.601370667,0.603640909
0.114,0.6020692,0.60431204
0.115,0.602316273,0.605155842
0.116,0.602695338,0.605857878
0.117,0.6035447,0.608537414
0.118,0.604019614,0.60925144
0.119,0.604388099,0.610957433
0.12,0.605137699,0.61180338
0.121,0.605865288,0.612297842
0.122,0.607128595,0.612660996
0.123,0.607705629,0.613174036
0.124,0.608085057,0.6139185
0.125,0.608392724,0.614668784
0.126,0.610019813,0.615383385
0.127,0.610375046,0.615749856
0.128,0.61070064,0.616434222
0.129,0.612758543,0.617272148
0.13,0.614377856,0.617956468
0.131,0.614826211,0.61868081
0.132,0.616113492,0.61923741
0.133,0.616579142,0.620063006
0.134,0.617631148,0.620710669
0.135,0.617988063,0.621033235
0.136,0.618903984,0.621556381
0.137,0.621244435,0.622069124
0.138,0.62190052,0.622616731
0.139,0.62599753,0.623110169
0.14,0.638197315,0.623556586
0.141,0.638854083,0.623998208
0.142,0.639548068,0.625371625
0.143,0.640218101,0.628451483
0.144,0.640831713,0.629122523
0.145,0.641526387,0.629550954
0.146,0.642187886,0.62987015
0.147,0.642983668,0.630038876
0.148,0.645550872,0.63133437
0.149,0.646341528,0.631950269
0.15,0.647174618,0.632507951
0.151,0.648191024,0.633111586
0.152,0.651979833,0.633636243
0.153,0.654368755,0.636202776
0.154,0.65689602,0.642040063
0.155,0.657819648,0.643654647
0.156,0.658754632,0.644374302
0.157,0.65966231,0.645189482
0.158,0.663502231,0.652218033
0.159,0.664087982,0.653012372
0.16,0.664787147,0.653864621
0.161,0.665509981,0.655555749
0.162,0.666261561,0.658807995
0.163,0.667970448,0.659659062
0.164,0.668673077,0.660498399
0.165,0.669305673,0.661298692
0.166,0.670201788,0.664757524
0.167,0.670620771,0.665434594
0.168,0.671202625,0.666254899
0.169,0.671786798,0.667158119
0.17,0.672418806,0.667977582
0.171,0.67289141,0.668705951
0.172,0.673557575,0.669473666
0.173,0.674336211,0.672097249
0.174,0.674752546,0.672800497
0.175,0.675156551,0.673315937
0.176,0.675573611,0.674029636
0.177,0.676353461,0.678706216
0.178,0.676804119,0.679342756
0.179,0.677352078,0.680274143
0.18,0.677972539,0.681065173
0.181,0.678425662,0.682712662
0.182,0.678705691,0.683519055
0.183,0.679031465,0.685225372
0.184,0.679305109,0.688867302
0.185,0.67953275,0.689812654
0.186,0.680629845,0.694760855
0.187,0.680889935,0.69566411
0.188,0.681143016,0.696432973
0.189,0.681405271,0.697312291
0.19,0.68304922,0.698279644
0.191,0.684974196,0.699091306
0.192,0.685014258,0.699975835
0.193,0.685179256,0.700670101
0.194,0.686059476,0.70142007
0.195,0.688271616,0.713484931
0.196,0.688650751,0.71420892
0.197,0.688860117,0.714894791
0.198,0.689078854,0.715793353
0.199,0.689514341,0.716486569
0.2,0.689803818,0.717426144
0.201,0.690141368,0.719638988
0.202,0.690426044,0.720353984
0.203,0.690499193,0.721079538
0.204,0.690751362,0.721862223
0.205,0.691024973,0.722535014
0.206,0.691407619,0.722963455
0.207,0.691891108,0.725045398
0.208,0.691898215,0.725733951
0.209,0.691930466,0.72638662
0.21,0.691982481,0.727143192
